,Sentence,language,stopwords count,Actionable Words,Check Email,Check Phone,Check URL or Link,Sentiments,Named Entinties,Profanitries
799,D5FCMI Delivery timeline ,English,1,"['delivery', 'timeline']",,,,,,
800,1UF572 marked complete on rider request ,English,3,"['rider', 'request']",,,,Neutral,['1UF572'],
801,22H89G Reschedule by care (IR),English,3,"['reschedule', 'care']",,,,Neutral,['IR'],
802,guided  karachi m delivery 3 to 4 hours m delivery hopjati ha ,Roman Urdu,4,Null,,,,Positive,['karachi'],[]
803,35HM7T Wrong Order placed ,English,2,"['order', 'placed']",,,,,,
804,Q5MT3Q  Customer Unreachable as per rider ,Roman Urdu,1,['rider'],,,,Negative,[],[]
805,8I43T7 RTS cancellation ,English,2,['cancellation'],Null,Null,Null,Negative,['Null'],['Null']
806,5L4VI0 delivery time line.,English,2,Null,,,,Neutral,[],[]
807,T2KB6Z Reschedule by Care ,English,2,"['reschedule', 'care']",,,,Neutral,[],[]
808,JR6F63 order creation ,English,2,"['order', 'creation']",,,,Neutral,,
809,3DW5GY DELIVERY TIMELINE,English,0,Null,,,,Neutral,[],[]
810,4P9PNS dlivery time line,English,3,"['delivery', 'time']",,,,Neutral,,
811,Y022AA delivery time line,English,,Null,,,,,,
812,9H0IHY prescription uploaded ,English,,Null,,,,,[],[]
813,YNFY77 Order information ,English,0,"['order', 'information']",,,,,[],[]
814,Order completion but didn't delivered yet unable to complete ,English,6,"['order', 'completion', 'deliver', 'complete']",,,,Negative,,
815,7F0595 Change MInd ,English,,Null,,,,Neutral,[],[]
816,65BERU Delivery instruction ,English,,Null,,,,,,
817,S2KY03 Change Mind ,English,2,Null,,,,Negative,,
818,F88F6D Change mind,English,,Null,,,,,,
819,9B059Y Cancelalation reason ,English,,Null,,,,,,
820,P636E3 Customer Unreachable as per rider,English,,Null,,,,,,
821,1FKP9G GUIDED DELIVERY TIMELINE,English,2,Null,,,,Neutral,[],[]
822,655SRG order conformation ,English,1,"['order', 'confirmation']",,,,Neutral,['655SRG'],
823,"LDFK65 as per rider customer ko order subha required hai customer ko guide kardiya hai ke apko new order place karna hoga subha ke liye, order mark as returned. ",Roman Urdu,12,"['order', 'place', 'mark', 'returned']",,,,Positive,[],[]
824,Order Creation! GEK034 Created ,English,0,"['order', 'creation']",,,,,['GEK034'],[]
825,C88QCX guided delivery timeline.,English,3,"['delivery', 'timeline']",,,,Neutral,['C88QCX'],
826,61ZN3O Cusromer unreachable ,Roman Urdu,0,Null,,,,,[],[]
827,EXQ499 guided delivery timeline,English,0,Null,,,,Neutral,[],[]
828,C88QCX guided delivery timeline.,English,1,"['delivery', 'timeline']",,,,,,
829,"NH7BY0 \ as per rider customer ko order subha required hai, order mark as returned, customer ko guide kar diya hai subha ke liye apko new order place karna hoga.",Roman Urdu,9,"['order', 'place']",,,,Neutral,,[]
830,Z9XK4X \ As per rider customer ka kehna hai ke order is time receive nhi kar sakty. order mark as returned.,Roman Urdu,10,"['order', 'receive', 'mark', 'returned']",,,,Negative,,
831,"J72SCS \ As per rider customer keh rhy hain is time order receive nhi kar sakty, order mark as returned,",Roman Urdu,4,"['order', 'receive', 'mark', 'returned']",,,,Negative,[],[]
832,"5K3225 \  Rider is at customer location but customer number is nr, order mark as returned.",English,4,"['order', 'mark', 'returned']",,,,Negative,,
833,"H74T2U \ Rider is at customer location but customer number is nr, order mark as returned.",Roman Urdu,7,"['order', 'mark', 'returned']",,,,Neutral,[],[]
834,445R65 \ guided delivery time,English,1,"['guided', 'delivery', 'time']",,,,,,
835,03096447504 \ Call drop by customer side,Roman Urdu,3,"['Call', 'drop', 'customer', 'side']",,3096447504,,,,
836,"J1066Z\ rider is at customer location but customer number is nr, order mark as returned.",English,6,"['order', 'returned']",,,,Negative,"['J1066Z', 'customer']",
837,"41UR65 \  as per rider, he is at customer location but customer number is nr. order mark as returned. ",English,11,"['order', 'returned']",,,,Negative,,
838,U7ZJL4 \ guided delivery timeline,English,3,"['guided', 'delivery', 'timeline']",,,,,,
839,"7998KS \ As per rider customer ko order subha required hai is time order receive nhi kar sakty =, order mark as returned.",Roman Urdu,7,"['order', 'receive']",,,,Neutral,[],
840,"25DEL8 \ as per rider customer ki location pe hain lekin customer ka number unreachable hai or society me guard ander nhi jane de raha, order mark as returned",Roman Urdu,8,"['order', 'returned']",,,,Negative,,"['gadha', 'chutya']"
841,Y02S36 \ As per rider he is at customer location but customer number is still unreachable order mark as returned.,English,11,Null,,,,Negative,[],[]
842,0CVO26  guided controlled medicine not allowed out of city,English,6,Null,,,,Neutral,,
843,M025V5 guided delivery timeline,Roman Urdu,1,Null,,,,Neutral,[],[]
844,G68336 \ SBP order pending hai guided or group me order confirmation call karne ke liye inform kardiya hai.,Roman Urdu,11,"['order', 'confirmation', 'inform']",,,,,,
845,"81IWFD  As per rider customer ko order subha 11 bjy ke baad required hai, order mark as returned, customer ko guide kar diya hai ke apko new order place karna hoga.",Roman Urdu,8,"['order', 'place']",,,,Neutral,[],
846,gided time line ,Null,Null,Null,Null,Null,Null,Null,Null,Null
847,cx ka SBP order thajukay wo kah rahy thy cancel hu gaya but cx nay order id nahi  di or call drop kar di ,Roman Urdu,4,['cancel'],,,,Negative,['SBP'],
848,cs ko order sy related information guide ki hai ,Roman Urdu,6,['order'],,,,Neutral,[],[]
849,54ON5N//4W43IT order draft mai hai confirmation k liye pharmacist sy calll back krwani hai ,Roman Urdu,6,"['order', 'draft', 'confirmation', 'pharmacist', 'call']",,,,,[],[]
850,GJLIHY // regab 75 actified dm be arranged call back from  pharmacist ,English,4,"['call', 'arranged', 'pharmacist']",,,,Neutral,,
851,cs ko hamari tarf sy cll ki gyi thi pr unhai nhi pata k cll q ki gyi hai ,Roman Urdu,,Null,,,,,,
852,cs ne Eziday 100mg Tablet 10.0 'S order ki thi or humari janib yahi deliver ki gai hain lekin cs nahi man rahi hain company policy bhiguide kardi hain cs ne bat karni thi cs ko guide kar dia hain call back arranged kar wa raha hu,Roman Urdu,15,"['order', 'deliver', 'call back']",,,,Neutral,[],[]
853,cs ko guide kardia hain order confirmed status py hain or cs ka address update kia hain cs ki pin location wrong add ho gai thi ,Roman Urdu,13,"['order', 'confirm', 'status', 'update', 'address', 'pin', 'location']",,,,Neutral,['cs'],[]
854,44645C discount sai sy mention nhi hai ,Roman Urdu,1,Null,,,,Neutral,[],[]
855,S9Z4I3 disc not available in the sheet ,English,,Null,,,,,,
856,BUERV2 disc not available in the sheet ,English,3,Null,,,,Neutral,,
857,JON9OC discount nahi hai sheet mai guide krha hai ,Roman Urdu,4,['guide'],,,,,,
858,44645C discount sai sy mention nhi hai,Roman Urdu,0,"['discount', 'mention']",,,,,,
859,cx order k process puch rahe thi guide krdiaa,Roman Urdu,3,"['order', 'process', 'guide']",,,,,,
860,GS0TL5 order confirmation required ,English,2,"['order', 'confirmation']",,,,,,
861,cx kay pass cash nahi kal dubara order kar dengy abhi complete order retrun hay ,Roman Urdu,2,['order'],,,,Negative,[],[]
862,cs ko guide kiya hai k app k through card pay select karain website py km kiya ja raha hai ,Roman Urdu,7,"['guide', 'card', 'select', 'website']",Null,Null,Null,Positive,['Null'],['Null']
863,54ON5N//4W43IT order draft mai hai confirmation k liye pharmacist call back karain,Roman Urdu,8,"['order', 'confirmation', 'pharmacist', 'call back']",,,,Neutral,,[]
864,disc not available in the sheet ,English,4,Null,,,,Neutral,,
865,JON9OC discount nahi hai sheet mai guide kar dia hain supplier ko,Roman Urdu,4,"['guide', 'supplier']",,,,Positive,[],[]
866,cs order k puch rahe thy kesy place krty sbp guide krdiya hai,Roman Urdu,5,"['order', 'place']",,,,Positive,['cs'],
867,CX SY BAAT HO RHI THI BUT CALL DROP HO GAI,Roman Urdu,2,Null,,,,Neutral,[],[]
868,cs ko guide kar dia hain call pick nahi ki hain jis ki waja sy order cancel kia gaya hain,Roman Urdu,5,"['guide', 'call', 'pick', 'order', 'cancel']",,,,Negative,,
869,SUPPLIER KA NUM PROVIDE KYA HAI CX KO,Roman Urdu,,Null,,9.23E+11,,,,
870,TOB444  sbp order hai cus ko call karke guide kardein medicine kab tak arrange hogi..,Roman Urdu,4,"['order', 'guide', 'medicine', 'arrange']",,,,,,
871,186Y9S dubara complian bana kay bhi hay agy 1668492389739,Roman Urdu,0,Null,,,,,,
872,prescription ke bare me poch rahe the so guide krdiya ,Roman Urdu,2,['guide'],,,,Neutral,['prescription'],
873,cs ne monthly order placed karna hain pharmacist sy bat karni thi call back guide kia hain,Roman Urdu,4,"['order', 'placed']",,,,Neutral,['pharmacist'],
874,55PEF0 as per supplier ka kehna hai k,Roman Urdu,0,Null,,,,,[],[]
875,GUIDE KRDYA HAI CX KO ARRANGMENT CHL RHI HAI,Roman Urdu,4,"['guide', 'arrangement']",,,,Neutral,[],[]
876,HI1598 booker discouhnt banaya hai,Roman Urdu,3,"['booker', 'discount']",,,,Positive,,
877,call drop hogai thi is liye koi action nhi liya ,Roman Urdu,3,Null,,,,Neutral,,
878,C043Y6 as per cus apne order ka cancel hogaya hai ye confirm karne ai thi so guide kardiya,Roman Urdu,7,"['confirm', 'guide']",,,,Neutral,['C043Y6'],
879,cus ka phely ki koi adjustment hai jo is order per cut kar rahe hain cus so guide kardiya k koi discount nhi hai or agr adjustment hai koi to cus ko booker se raabta karna hoga,Roman Urdu,10,"['adjustment', 'discount', 'booker', 'raabta']",,,,Neutral,[],[]
880,call transfer to pharmacist,English,2,"['transfer', 'pharmacist']",,,,Neutral,,
881,6321G6 as per cus apne order ka status confirm kar rahe thy so guide kardiya ,Roman Urdu,7,"['order', 'status', 'confirm', 'guide']",,,,,,
882,cs ko guide kardia hain,Roman Urdu,1,['guide'],,,,Positive,,
883,lack of cash hay cx full retrun kar rahy hay  311TZE,Roman Urdu,6,Null,,,,Negative,[],['gadha']
884,1Z1G4R  disc not available in the sheet ,English,5,Null,,,,Neutral,,
885,V9HY8Q as per rider ka kehna hai k mera raabta hogaya hai cus se ap order return nhi karen mein deliver kar raha hon....cli..03313654185,Roman Urdu,7,"['order', 'deliver']",,3313654185,,,,
886,3RK9X5 as per supplier cus keh rahe meine kabhi tezzmedz use nhi ki to order kese karunga ap return kardein..,Roman Urdu,6,['order'],,,,Negative,,
887,fake order return isl as per supplier ne order return karwaya hai cus k kehne per 479075,Roman Urdu,0,"['order', 'return']",,,,Negative,[],[]
888,supplier ko guide kardia hain picture upload kar k call back karain,Roman Urdu,5,"['guide', 'upload', 'call back']",,,,,,
889,order place krna hai cs ny is waja sy call back hogi,Roman Urdu,4,"['order', 'place', 'call back']",,,,Positive,,
890,T10U72  as per supplier ka kehna,Roman Urdu,,Null,,,,,,
891,cs ko guide kar dia hain pharmacist khud apko call back kar rahy hain,Roman Urdu,5,"['guide', 'pharmacist', 'call back']",,,,Neutral,[],[]
892,charge amount k hawale sy guide kiya hai csko ,Roman Urdu,0,Null,,,,Neutral,,
893,XGCCF7/584N0O as per supplier cus ka discount sheet mein add karwaya hai,Roman Urdu,,Null,,,,,,
894,DRAFT ORDER STILL CONFIRMATION REQUIRTED  JHY5DC  03221784066,English,3,"['order', 'confirmation']",,9.23E+11,,,['JHY5DC'],
895,k cus ko booker ne 2540 ka discount diya hai iske elawa 3000 ki tp adjustment bhi hai so guide kar diya k ap booker se raabta karky tp adjustment ki jaga discount mention kar waen..,Roman Urdu,4,"['booker', 'discount', 'tp adjustment', 'raabta', 'mention']",,,,Neutral,,
896,9NA158 customer order k puch rahe thi guide krdiya 1 se 2 ghnat mai deliver hoga,Roman Urdu,5,"['order', 'deliver']",,,,Neutral,[],[]
897,03132774918 as per caller keh rahe thy k mujhe abhi is no se call arahi thi so guide kardiya ,Roman Urdu,0,Null,,9.23E+11,,Neutral,[],[]
898,B2B- Partial Return (Wrong Item),English,2,"['return', 'wrong item']",,,,Neutral,,
899,SBP customer order ke bare me poch rahe the so guide krdiya ,Roman Urdu,5,['order'],,,,,"['SBP', 'customer']",
900,5B3313 \ncs ko order ki delivery timing k hawale sy guide kiya hai tcs k thorough deliver hua hai,Roman Urdu,7,"['order', 'delivery', 'timing', 'guide', 'tcs', 'deliver']",,5B3313,,Neutral,"['cs', 'tcs']",
901,628983 (19702) rs k closing sheet mai discount hai 415 rs ki Nido +1 Shield Powder 900.0 gm ki adjustment hai,Roman Urdu,10,"['discount', 'closing', 'sheet', 'adjustment']",,,,Neutral,['Nido +1 Shield Powder'],
902,0512752266 as per caller tabiyat ki web se card ,Roman Urdu,2,"['tabiyat', 'web', 'card']",,512752266,,,,
903,OY719U  as per supplier or cus keh rahe thy k jo amount charge kar rahe hain isko jab order place karta hai cus to mention kiya karen bad mein phir mujhe samajh na ayen price to order return hota hai..,Roman Urdu,9,"['order', 'place', 'charge']",,,,Neutral,,
904,payement ka poch rahe thy lekin ab sirf app per ,Roman Urdu,2,['payement'],,,,,,
905,supplier ko guide kar dia hain charge amount company ki taraf sy lagy hain as per invoice jay ga,Roman Urdu,10,Null,,,,Positive,[],[]
906,card payement option hai so guide kardiya',Roman Urdu,3,"['card', 'payment', 'option', 'guide']",,,,Positive,,
907,cs sy bt ho rahi thi cll drop hogyi ,Roman Urdu,3,Null,,,,,,[]
908,cs ko guide kiya hai k quick order k through prescription upload karain ,Roman Urdu,3,"['order', 'prescription', 'upload']",,,,,,
909,22H89G  as per rider cus ki location per order de raha hon payment 0 daraz order hai ap complete mark kardein order ....\n\n,Roman Urdu,5,"['order', 'payment', 'complete', 'mark']",,,,,,
910,03176719682 779405355789 DELIVERY TIME GUIDED,Roman Urdu,2,"['delivery', 'time', 'guided']",,9.23E+11,,,,
911,cs ko guide kar raha tha call drop ho gai hain,Roman Urdu,5,['guide'],,,,Negative,['cs'],
912,78DPR9 as per cus ko rider ka no provide kiya hai ,Roman Urdu,1,Null,,,,,[],[]
913,63NGW8  Nan AL 110 Powder 400.0 gm as per supplier cus ne 10pcs partial kardiye hain price issue ki waja se,Roman Urdu,9,"['issue', 'price']",,,,,,
914,5NR222 shop closed,English,1,Null,,,,,,
915,GUIDED PAYMENT PENDING M HAI ABHI,Roman Urdu,4,"['GUIDED', 'PAYMENT', 'PENDING']",,,,,,
916,1PRG34 lack of cash,English,2,['cash'],,,,Negative,,
917,CX KOEE RESPOND NHII KR RHY,Roman Urdu,2,Null,,,,Negative,[],"['koee', 'nhii']"
918,B2B - Booker Discounts confirmation - LHR   Retailer Name: Faizan\nRetailer contact: +923084678988\nBooker Name: asd ulllah baig\nOrder ID: G2J004\n\n\nconfirmed that no partial / no cutting,Roman Urdu,6,['confirmation'],,9.23E+11,,Neutral,"['Faizan', 'asd ulllah baig']",
919,8OBAK6  as per rider cus ki location per order de raha hon payment recieve  hai ap complete mark kardein order ....\n\n,Roman Urdu,10,"['order', 'payment', 'complete']",,,,Positive,[],[]
920,cs ka order return mark hua hai hamari tarf sy cll ayi thi unhain yahi batane k liye ,Roman Urdu,6,"['order', 'return', 'call']",,,,,,
921,AS PER CX APNE ORDER KI TCS DELIVERY TIME KA POCH RAHE THY SO GUIDE KAR DIYA HAI KINDLY NOTED.....\n\n,Roman Urdu,7,"['order', 'TCS', 'delivery', 'time']",,,,Positive,,
922,guided 6085 disc asd per sheet,English,6,"['guided', 'disc', 'per', 'sheet']",,,,,[],[]
923,NN1743  B2B - Booker Discounts confirmation - ISL ,English,0,Null,,,,Neutral,[],[]
924,cs ko guide kar raha tha call drop ho gai hain,Roman Urdu,2,['guide'],,,,Negative,[],
925,cs ko guide kardia hai k ap k order tcs k zariye deliver hoga 3I3T33,Roman Urdu,1,"['order', 'deliver']",,,,,['TCS'],[]
926,ZX3U6Z sbp order hai rider k kehne per cus ka order reshadule hoga q k slip nhi hai inke pass ,Roman Urdu,5,"['order', 'rider', 'kehne', 'cus', 'reshadule', 'hai', 'slip', 'nhi', 'hai', 'inke', 'pass']",,,,,,
927,B2B - Return - Lack of Cash - KHI   4P3U3S Retailer Name:  IMRAN ALI\nRetailer Contact: +923332986665\n\n\nReturn Reason:as per supplier cus ka check approved nhi hai or woh order return kar rahe hain lack of cash per kindly confirm karen cus se ,English,14,"['order', 'return']",,9.23E+11,,Neutral,['IMRAN ALI'],
928,GUIDE KDYA HAI CX KO PRISCIPTION INVALID  HAI,Roman Urdu,6,"['guide', 'prescription']",,,,Negative,[],"['kya', 'invalid']"
929,C0QLB7 delivery timeline poch rahi thi guide ka rdiya hai,Roman Urdu,7,"['delivery', 'timeline', 'guide']",,,,Neutral,,
930,Retailer Name:  Sahil Baloch\nRetailer Contact: +923332290062\n3N5H5M\nReturn Reason: AS PER SUPPLIER CX KI SHOP CLOSE HAI MEINE RAABTA KIYA HAI WOH KEH RAHE HAIN MERI SHOP AJJ meri shop 5baje tak CLOSE RAHE GI AP ORDER RETURN KARDEIN KINDLY CONFIRM KAREN......,Roman Urdu,19,"['order', 'return']",,9.23E+11,,Neutral,['Sahil Baloch'],
931,756UYV as per cus ko rider info provide ki hai..,Roman Urdu,,Null,,,,Neutral,[],[]
932,B2B - Retailer Unavailable/Unreachable - KHI,English,1,"['B2B', 'Retailer', 'Unavailable', 'Unreachable']",,,,Negative,['KHI'],
933,SUYUY5 cx call pick nahi kar rhy hay rider location pe mujood hay ,Roman Urdu,5,"['call', 'pick']",,,,,,
934,shop closed 0237T2,English,1,Null,,,,Neutral,[],[]
935,cs ki awaz nh arahi thi call drop ,Roman Urdu,2,Null,,,,Negative,[],[]
936,sbp order pending call back ,Roman Urdu,4,"['order', 'pending', 'call back']",,,,,[],[]
937,290370 as per cus ne prescription upload kardi hai kindly check karky cus ka order confirm kardein..,Roman Urdu,9,"['order', 'confirm']",,,,Neutral,[],[]
938,"pending py hai order cs ka\n""SV2RQ9",Roman Urdu,4,"['order', 'cs']",,,,,,
939,cs ki rx invalid thi guide kardia hai isliye order cancel kardia hai guided ,Roman Urdu,3,"['order', 'cancel']",,,,Positive,,
940,OR2VHF as poer supplier ne lack of cash per ,English,6,Null,Null,Null,Null,Negative,['Null'],['Null']
941,cx ko dawai pe rabta karna tha ,Roman Urdu,4,"['dawai', 'rabta']",,,,,,
942,cs ko guide nahi kar saka call drop ho gai hain,Roman Urdu,4,"['guide', 'call']",,,,,,['gai']
943,GUIDED ORDER RETURN HO CUKA HAI,Roman Urdu,3,"['order', 'return']",,,,Mixed,,
944,C4PGY0 order pending mai hai call back required hai ,Roman Urdu,5,"['order', 'pending', 'call back', 'required']",,,,,,
945,"Additional Details:Plot E 102, Block E Canal Gardens, Lahore, Punjab, Pakistan TSAN7R as per cus ne delivery instruction di hai so agy provide kardi hai..",Roman Urdu,3,['delivery'],,,,,"['Plot E 102', 'Block E Canal Gardens', 'Lahore', 'Punjab', 'Pakistan']",
946,BOOKER ORDER CANCEL KRWA RHY HAI CX KE SHOP PR MUJOOD NHI HAI WO ABHI,Roman Urdu,3,Null,,,,,[],[]
947,SAME CLI SY CALL KRY CX KO GUIDE KEDYA HAI,Roman Urdu,,Null,,,,,,
948,HL85UF pending status hai,Roman Urdu,0,Null,,,,,[],[]
949,order place karna hai ,Roman Urdu,3,"['order', 'place']",,,,Positive,,
950,tiket bana hua hay partial retrunpe already 1668508091738 rdier confirm kar rahy thy kay discoutn khatam tunahi huga after  confirming Ali bhai guided nahi kahtam huga discount ap total me say minus kar kay pri discount deden ,Roman Urdu,8,"['tiket', 'partial return', 'confirm', 'discount', 'minus', 'discount']",,,,Positive,['Ali bhai'],
951,E0K9P7 supp ko guide kiya hai k sheet mai add hogya hai ,Roman Urdu,3,"['guide', 'sheet', 'add']",,,,Positive,,
952,Morinaga Bf-3 Growing Up Powder 4 cash issue ki waja se item return kia hai ,Roman Urdu,5,"['cash', 'issue', 'return']",,,,,,
953,Fosfomycin Tromethamine is formula sy related sachet not available hai cs ko guide kiya hai ,Roman Urdu,5,['guide'],,,,,['Fosfomycin Tromethamine'],
954,03332232831   as per caller product k bare mein poch rahe thy k mein order kar rahe hon koi item short ya miss to nhi hoga so guide kardiya ,Roman Urdu,7,"['order', 'kar', 'guide']",,3332232831,,Positive,,
955,0CC554  as per supplier fake order per return karwaya hai,Roman Urdu,6,"['order', 'return']",,,,,[],['fake']
956,Meiji FU  Powder 400.0 gm and Meiji Lactoless  Powder 350.0 gm partial return  kar rahy rates ki waja say un ka kahan ahy 1550 kay hisab say ara tha ,Roman Urdu,6,['return'],,,,Neutral,"['Meiji FU Powder', 'Meiji Lactoless Powder']",[]
957,supp ko guide kiya hai k sheet mai add ho chuka haiJON9OC,Roman Urdu,3,"['sheet', 'add']",,,,,['JON9OC'],
958,ORDER RETURN HAI PRICE CASH SHEET M ADD KRWAI HAI,Roman Urdu,4,"['order', 'return', 'price', 'cash', 'sheet', 'add']",,,,,,
959,P636E3 as per cus order ka return reason confirm kar rahe thy so guide kardiya,Roman Urdu,6,"['order', 'return', 'reason']",,,,Positive,['P636E3'],
960,FS2696 guided empaa 10 mg arrrange ki ja rahi hay jaise hi arraneg hugi ap ko deliver karwa dengay ,Roman Urdu,2,"['arrange', 'deliver']",,,,Neutral,['FS2696'],
961,draft mai hai order 03216543718,Roman Urdu,0,['order'],,3216543718,,,[],[]
962,as per rider cus ki location per mojood hon lekin call pick nhi kar rahe hain kindly confirm ....\nM28WBO,Roman Urdu,,Null,,,,,,
963,WLTJJ4 address modify krne aye thy pr cs ko guide kiya hai k address already add hai  additonal detail mai ,Roman Urdu,4,"['address', 'modify']",,,,Neutral,,
964,CX KO ORDER ID YA PHONE NUM NHI PTA,Roman Urdu,,Null,,,,,,
965,\n\ncs ko order ki delivery timing k hawale sy guide kiya hai ,Roman Urdu,3,"['order', 'delivery', 'timing', 'guide']",,,,Neutral,['cs'],[]
966,SUPPLIER NY PIC UPLOAD NHI KE THI,Roman Urdu,,Null,,,,,,
967,VX6RR5 draft mai pending order hai call back required h,Roman Urdu,4,"['order', 'call back']",,,,,,
968,GLR2TG cus order k puch rahe thy shipped status pe h guide krdiya hai supplier k num dediaa,Roman Urdu,4,['order'],,,,,[],[]
969,"Customer Name:  Zohaib Khan\nCustomer Contact: 923313234822\n\n\n23ME71 sbp order hai confirmation required medicne arrange nahi hoi ab tak \n""",Roman Urdu,5,"['order', 'confirmation', 'medicne', 'arrange']",,9.23E+11,,,,
970,cs ko guide kar dia hain or cs ko booker bhi chahiye,Roman Urdu,2,"['guide', 'booker']",,,,Positive,,[]
971,1O18J2  SBP order ha cx kah rhy hai mri state bank slip m (Norvasc 5mg Tablet 10.0 'S)  15 tablet likhi v hai apne mjhe 20 tablets di hai (Cenova 200mg Tablet 14.0 'S ) 10 tab slip p likhi hai or apne hmy 14 tab di hai \n\n,Roman Urdu,10,['order'],,,,,"['Norvasc 5mg Tablet', 'Cenova 200mg Tablet']",
972,1D6CO3 General / Order Completion,English,2,"['order', 'completion']",,,,,,
973,1D6CO3 General / Order Completion already completed ,English,2,Null,,,,Neutral,,
974,/ B2C- Incomplete Information,Null,Null,Null,Null,Null,Null,Null,Null,Null
975,6GD585 Customer Unreachable LHR ,Roman Urdu,0,Null,,,,Neutral,,
976,3342743519 call drop,English,,Null,,3342743519,,,,
977,3F3Z85 AS PER CX APNE ORDER KI DELIVERY TIME KA POCH RAHE THY SO GUIDE KAR DIYA HAI KINDLY NOTED....\n\n,Roman Urdu,2,"['order', 'delivery', 'time', 'guide', 'noted']",,,,Positive,[],[]
978,70H11U  AS PER CX APNE ORDER KI TCS DELIVERY TIME KA POCH RAHE THY SO GUIDE KAR DIYA HAI KINDLY NOTED.....\n\n,Roman Urdu,4,"['order', 'TCS', 'delivery', 'time', 'guide', 'noted']",,,,,,
979,1OH825  as per cus keh rahe hain card payement nhi horahi hai ap cash on delivery kardein..,Roman Urdu,0,Null,,,,,[],[]
980,cs ko guide kar dia hain order deliver kar dia jay ga,Roman Urdu,5,"['order', 'deliver']",,,,Neutral,['cs'],
981,Shipped status py hain,Roman Urdu,1,"['shipped', 'status']",,,,,,
982,J55S5H B2C - Return - Wrong Location - KHI,English,6,"['Return', 'Wrong Location']",Null,Null,Null,Null,['KHI'],Null
983,5NR222 as per supplier ne order return hogaya hai lekin live sheet mein pesy add nhi hue hain so requst kardi hai,Roman Urdu,8,"['order', 'return', 'live sheet', 'pesy', 'add', 'requst']",,,,Neutral,['supplier'],
984,03343760198/3343616425 as per caller ne 2 no bataye k is per koi slip upload hai sbp ki so show nhi horahi thi guide kardiya,Roman Urdu,0,Null,,"33,437,601,983,343,600,000",,,[],
985,03123331330 as per cus order cancel due to some item already purchase ....  XQ2G01,Roman Urdu,5,"['order', 'cancel', 'purchase']",,3123331330,,Negative,,
986,NIP20P order information ,English,2,"['order', 'information']",,,,,,
987,"B2C - Delivery Instruction - KHI    ""The customer came for delivery instruction""\n\n\nCustomer Name: Mavia Bin Hameed\ncustomer contact: +923238252050\nOrder ID: I0200V\n\n\n\n\nas per cus ka address rider ko guide karna hai dispatch se phely or ye order kal 11am baje k baad deliver karna hai kindly noted & guided accordingly",English,12,"['order', 'deliver', 'guide', 'dispatch', 'noted', 'guided']",,9.23E+11,,Neutral,['Mavia Bin Hameed'],[]
988,930Q1O sbp order hai pending status hai kal se kindly cus ko arrangement timeline kardein call back karke,Roman Urdu,5,"['order', 'pending', 'status', 'arrangement', 'timeline', 'call back']",,,,,,
989,ZAZ39F B2C - Order Cancellation at RTS - LHR,English,3,"['Cancellation', 'RTS', 'LHR']",,,,Neutral,"['RTS', 'LHR']",[]
990,Cran Max Sachet 1.0 'S 30pcs tp-810\nDaflon 500mg Tablet 10.0 'S 6pcs tp-462\nSita 50mg Tablet 14.0 'S 5pcs tp-155\nBritanyl 0.3mg/ml Syrup 60.0 ml 70pcs tp-51\nDomel 5mg/5ml Suspension 60.0 ml 70pcs tp-420,English,0,['order'],,,,,,
991,IY064O order confirmation ,English,1,"['order', 'confirmation']",,,,Positive,[],[]
992,"total amount mein se 1,898 minus karky discount chang hua hai new amount 5,000    ""The supplier has contacted to complain about the tp difference in the closing sheet, Agent needs to fill below details in the closing sheet according to the area""\n47DGY8\nRetailer Name:  Abdul Rashid\nRetailer Contact number: +923353791931\nAmount: 1,898\nTP Issue SKU's: Cran Max Sachet 1.0 'S 30pcs tp-810\nDaflon 500mg Tablet 10.0 'S 6pcs tp-462\nSita 50mg Tablet 14.0 'S 5pcs tp-155\nBritanyl 0.3mg/ml Syrup 60.0 ml 70pcs tp-51\nDomel 5mg/5ml Suspension 60.0 ml 70pcs tp-420",English,18,['fill'],,9.23E+11,,Neutral,['Abdul Rashid'],
993,4FGMY6 Delivery timeline ,English,1,"['delivery', 'timeline']",,,,Neutral,,
994,47DGY8B2B -  TP Difference in the closing sheet adjusted in the sheet already ,English,8,"['closing sheet', 'adjusted', 'already']",,,,Neutral,,
995,5H503Y change mind ,English,,Null,,,,,,
996,already update guided,English,,Null,,,,,,
997,call back sbp order draft me hai ,Roman Urdu,3,['order'],,,,Neutral,['SBP'],
998,W3NS98 exchange request ,English,2,"['exchange', 'request']",,,,Neutral,,
999,W3NS98 exchange request,English,2,Null,,,,,[],[]
1000,3VDI6M guided timeline ,English,,Null,,,,,,
1001,91P0G0 marked complete on rider request ,English,0,"['rider', 'request']",,,,Neutral,,
1002,guided id relogin karein ,Roman Urdu,1,['relogin'],,,,Neutral,,
1003,Gravibinan 250mg+5mg Injection 1 ml,English,,Null,,,,,[],[]
1004,NU20P2 cs order ka confirm kar rahy thai guide kardiya ,Roman Urdu,1,"['order', 'confirm']",,,,Positive,,[]
1005,4820ZV order complete kardiya hai,Roman Urdu,1,"['order', 'complete']",,,,Positive,,
1006,03017904657 order is confirm,Roman Urdu,2,"['order', 'confirm']",,3017904657,,,,
1007,C3L5CY SBP guided,English,2,Null,,,,Neutral,[],[]
1008,OEQFUI RTS Cancellation ,English,2,['cancellation'],,,,,,
